method,seed,survivable,conn,lam2,energy,edges,latency
QIEA+AI,1,1.0,1.0,0.05043554787507385,0.47683951270231584,18,42
QIEA-noAI,1,0.9925925925925926,1.0,0.054592215506398145,0.4720317146978257,19,81
GA,1,1.0,1.0,0.0671259342586551,0.47009836459553567,17,40
greedy,1,0.837037037037037,0.837037037037037,3.3410085671503063e-15,0.060143600341054426,3,3
greedy-conn,1,0.9777777777777777,1.0,0.07912115907722081,0.4777121562555376,24,24
QIEA+AI,2,1.0,1.0,0.04750250013342376,0.4961825561658037,21,64
QIEA-noAI,2,0.9850746268656716,1.0,0.05118629330078406,0.500907796164292,19,85
GA,2,1.0,1.0,0.06949578964185639,0.5153168239757904,20,63
greedy,2,0.8656716417910447,0.8656716417910447,0.0,0.03507183452440201,2,2
greedy-conn,2,0.9776119402985075,1.0,0.08264026268052727,0.5151947928283263,25,25
QIEA+AI,0,0.9555555555555556,1.0,0.0649348659618025,0.48315945280695743,18,54
QIEA-noAI,0,0.9481481481481482,1.0,0.060788058336406034,0.5014647026549455,20,102
GA,0,0.9925925925925926,1.0,0.0734775084790022,0.49706954343691945,21,74
greedy,0,0.9111111111111111,0.9111111111111111,8.956318900632923e-16,0.06265768005369136,3,3
greedy-conn,0,0.9481481481481482,1.0,0.07866212534417073,0.49941766726881215,26,26
QIEA+AI,3,0.9852941176470589,1.0,0.05955490640678858,0.8569479328375842,36,120
QIEA-noAI,3,0.9852941176470589,1.0,0.053002660754722056,0.8398869609825814,32,120
GA,3,1.0,1.0,0.07281549090418338,0.5512196578190803,20,51
greedy,3,1.0,1.0,0.07014080883468136,0.5400935850738143,28,28
greedy-conn,3,1.0,1.0,0.07905144633449114,0.5530542177399111,28,28
