method,seed,gw_survivable,energy,edges,latency
QIEA+AI,5,0.9357798165137615,3.9675634337980874,145,120
QIEA-noAI,5,0.8899082568807339,3.8400181510727474,144,120
GA,5,0.9357798165137615,3.0558519666744273,128,68
SA,5,0.926605504587156,2.991464497215444,135,0
greedy,5,0.8440366972477065,0.10671967750771949,5,5
greedy-conn,5,1.0,1.014559471376935,56,56
QIEA+AI,3,0.9678899082568807,4.389559988679224,165,120
QIEA-noAI,3,0.944954128440367,4.1716551056626106,162,120
GA,3,0.9862385321100917,3.321834229456578,130,46
SA,3,0.9220183486238532,3.3212720555132784,133,11
greedy,3,0.8577981651376146,0.12330722543517714,7,7
greedy-conn,3,0.9954128440366973,0.9853210063287365,56,56
QIEA+AI,4,0.9403669724770642,3.0424627987821835,115,89
QIEA-noAI,4,0.8440366972477065,3.1536912470029876,123,93
GA,4,0.9541284403669725,3.1467391783062912,123,60
SA,4,0.8944954128440367,3.142838387816083,131,2936
greedy,4,0.8211009174311926,0.04416679252043308,2,2
greedy-conn,4,0.9954128440366973,1.1091981982255321,64,64
QIEA+AI,1,0.8669724770642202,3.692803462392454,145,120
QIEA-noAI,1,0.7981651376146789,3.6546366298400526,136,120
GA,1,0.9311926605504587,3.18844466238402,134,76
SA,1,0.8394495412844036,3.209389881650152,136,13
greedy,1,0.7477064220183486,0.08890625065813701,4,4
greedy-conn,1,0.9862385321100917,1.4639451084765513,81,81
QIEA+AI,0,0.8761467889908257,4.219074928578897,159,120
QIEA-noAI,0,0.7568807339449541,3.7480630040865828,141,120
GA,0,0.8990825688073395,3.1720588490554293,129,63
SA,0,0.8807339449541285,3.158743542564851,129,2789
greedy,0,0.555045871559633,0.12652826855154795,5,5
greedy-conn,0,0.9862385321100917,1.4607994861527007,85,85
QIEA+AI,2,0.8623853211009175,2.9013073290250784,113,99
QIEA-noAI,2,0.8027522935779816,2.9297204305230253,111,62
GA,2,0.8761467889908257,3.00921619907374,125,75
SA,2,0.8486238532110092,3.0103504392401366,128,2799
greedy,2,0.7752293577981652,0.08336321141727274,3,3
greedy-conn,2,1.0,1.5555999501827855,83,83
QIEA+AI,7,0.8899082568807339,3.0383603630849483,122,64
QIEA-noAI,7,0.8256880733944955,3.0391658366825336,115,93
GA,7,0.9174311926605505,3.0406128959990575,119,64
SA,7,0.8761467889908257,3.028497664189714,127,23
greedy,7,0.7935779816513762,0.030493822438761684,1,1
greedy-conn,7,0.9954128440366973,1.3073289014769025,73,73
QIEA+AI,6,0.8348623853211009,3.3537170534418026,126,120
QIEA-noAI,6,0.7706422018348624,3.3083574672142375,124,120
GA,6,0.8623853211009175,3.112174459008189,127,72
SA,6,0.7935779816513762,3.1487509784520378,125,0
greedy,6,0.7660550458715596,0.09622743313286478,4,4
greedy-conn,6,1.0,1.542292058191911,83,83
QIEA+AI,8,0.9174311926605505,3.9205318601195516,149,120
QIEA-noAI,8,0.8532110091743119,3.903099757235948,156,120
GA,8,0.9357798165137615,3.355499314406078,132,72
SA,8,0.8944954128440367,3.3780288002357324,149,2805
greedy,8,0.7935779816513762,0.056256069026036096,3,3
greedy-conn,8,0.9724770642201835,1.4086717721547257,74,74
QIEA+AI,9,0.8853211009174312,3.5633451024182126,136,120
QIEA-noAI,9,0.8440366972477065,3.4593578582411486,132,120
GA,9,0.9220183486238532,3.2561351564429035,128,61
SA,9,0.8990825688073395,3.2858515133504564,142,47
greedy,9,0.7889908256880734,0.11173408103524345,6,6
greedy-conn,9,1.0,1.2344124860919972,70,70
QIEA+AI,10,0.8394495412844036,3.5440483782011754,140,120
QIEA-noAI,10,0.8211009174311926,3.6055983051968084,133,120
GA,10,0.8944954128440367,2.9876458590100263,125,73
SA,10,0.8440366972477065,3.092565265158543,137,2702
greedy,10,0.7798165137614679,0.04400017427777564,2,2
greedy-conn,10,1.0,1.383575780084969,78,78
QIEA+AI,11,0.8302752293577982,3.4009068099009525,124,120
QIEA-noAI,11,0.7568807339449541,3.310347824055154,126,120
GA,11,0.8577981651376146,3.1304579322279253,125,68
SA,11,0.7798165137614679,3.140465614156086,133,4
greedy,11,0.7339449541284404,0.08193867227043923,3,3
greedy-conn,11,0.9954128440366973,1.7369968939948144,93,93
QIEA+AI,13,0.9036697247706422,3.5774940186756257,136,120
QIEA-noAI,13,0.8486238532110092,3.4703815573531402,126,120
GA,13,0.9541284403669725,3.138359925171771,132,65
SA,13,0.8440366972477065,3.1150291253928595,128,0
greedy,13,0.7889908256880734,0.048784463329838865,3,3
greedy-conn,13,0.981651376146789,1.3155049280476439,73,73
QIEA+AI,12,0.7981651376146789,3.2305444375144967,123,120
QIEA-noAI,12,0.8577981651376146,3.3014932092042617,128,120
GA,12,0.944954128440367,3.070725809365031,126,57
SA,12,0.8669724770642202,3.079515597196308,134,4559
greedy,12,0.7568807339449541,0.11456885112835256,6,6
greedy-conn,12,1.0,1.3272534477062077,71,71
QIEA+AI,14,0.9541284403669725,4.275759409178571,163,120
QIEA-noAI,14,0.908256880733945,4.1167591807389865,155,120
GA,14,0.9724770642201835,3.388661446557885,140,46
SA,14,0.9128440366972477,3.4236917699236504,135,0
greedy,14,0.8348623853211009,0.1863308912745846,8,8
greedy-conn,14,1.0,1.0260949605128389,61,61
QIEA+AI,16,0.8761467889908257,3.2625822764541,121,120
QIEA-noAI,16,0.8577981651376146,3.0823581663205513,115,105
GA,16,0.9678899082568807,3.058474972579117,131,63
SA,16,0.8623853211009175,3.0955349860902257,128,19
greedy,16,0.7981651376146789,0.06517251931980939,2,2
greedy-conn,16,1.0,1.3349835063452828,74,74
QIEA+AI,17,0.981651376146789,4.393596212278954,161,120
QIEA-noAI,17,0.9403669724770642,3.9045901243000465,148,120
GA,17,0.981651376146789,3.2451868149421856,124,46
SA,17,0.9357798165137615,3.2680373410710857,139,0
greedy,17,0.8807339449541285,0.14715774703416118,9,9
greedy-conn,17,0.9954128440366973,0.8634353412775407,49,49
QIEA+AI,15,0.8853211009174312,4.134085713697219,157,120
QIEA-noAI,15,0.8944954128440367,4.0663834438093245,152,120
GA,15,0.9541284403669725,3.390986398885423,135,58
SA,15,0.8944954128440367,3.394365987806359,143,3
greedy,15,0.7981651376146789,0.09135494422613796,5,5
greedy-conn,15,1.0,1.2903975335661169,69,69
